date,time,ticker,name,price_eur,cost_eur,qty,vm,pnl_brut,pnl_brut_pct,pnl_net,pnl_net_pct,score,confiance,rec
2026-09-15,01:25,WPEA.PA,MSCI WORLD,6.921,6.77,30.0,207.63,4.53,2.23,0.55,0.27,5.8,41.0,SURVEILLER
2026-09-15,01:25,PSP5.PA,S&P500,58.01,57.87,2.0,116.02,0.28,0.24,-3.7,-3.2,5.8,41.0,SURVEILLER (en moins-value)
2026-09-15,01:25,WPEA.PA,MSCI WORLD,6.921,6.59,60.0,415.26,19.86,5.02,15.88,4.02,5.8,41.0,SURVEILLER
2026-09-15,01:25,WPEA.PA,MSCI WORLD,6.921,6.48,2.0,13.84,0.88,6.79,-3.1,-23.92,5.8,41.0,SURVEILLER (en moins-value)
2026-09-16,01:09,WPEA.PA,MSCI WORLD,6.893,6.77,30.0,206.79,3.69,1.82,-0.29,-0.14,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-16,01:09,PSP5.PA,S&P500,57.76,57.87,2.0,115.52,-0.22,-0.19,-4.2,-3.63,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-16,01:09,WPEA.PA,MSCI WORLD,6.893,6.59,60.0,413.58,18.18,4.6,14.2,3.59,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-16,01:09,WPEA.PA,MSCI WORLD,6.893,6.48,2.0,13.79,0.83,6.4,-3.15,-24.31,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-17,01:14,WPEA.PA,MSCI WORLD,6.931,6.77,30.0,207.93,4.83,2.38,0.85,0.42,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-17,01:14,PSP5.PA,S&P500,58.03,57.87,2.0,116.06,0.32,0.28,-3.66,-3.16,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-17,01:14,WPEA.PA,MSCI WORLD,6.931,6.59,60.0,415.86,20.46,5.17,16.48,4.17,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-17,01:14,WPEA.PA,MSCI WORLD,6.931,6.48,2.0,13.86,0.9,6.94,-3.08,-23.77,6.27,100.0,A EXAMINER (peu de criteres)
2026-09-18,01:04,WPEA.PA,MSCI WORLD,6.982,6.77,30.0,209.46,6.36,3.13,2.38,1.17,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-18,01:04,PSP5.PA,S&P500,58.44,57.87,2.0,116.88,1.14,0.98,-2.84,-2.45,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-18,01:04,WPEA.PA,MSCI WORLD,6.982,6.59,60.0,418.92,23.52,5.95,19.54,4.94,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-18,01:04,WPEA.PA,MSCI WORLD,6.982,6.48,2.0,13.96,1.0,7.72,-2.98,-22.99,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-19,00:47,WPEA.PA,MSCI WORLD,6.963,6.77,30.0,208.89,5.79,2.85,1.81,0.89,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-19,00:47,PSP5.PA,S&P500,58.47,57.87,2.0,116.94,1.2,1.04,-2.78,-2.4,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-19,00:47,WPEA.PA,MSCI WORLD,6.963,6.59,60.0,417.78,22.38,5.66,18.4,4.65,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-19,00:47,WPEA.PA,MSCI WORLD,6.963,6.48,2.0,13.93,0.97,7.48,-3.01,-23.23,6.75,100.0,A EXAMINER (peu de criteres)
2026-09-21,01:34,WPEA.PA,MSCI WORLD,7.049,6.77,30.0,211.47,8.37,4.12,4.39,2.16,7.72,100.0,A EXAMINER (peu de criteres)
2026-09-21,01:34,PSP5.PA,S&P500,59.24,57.87,2.0,118.48,2.74,2.37,-1.24,-1.07,7.72,100.0,A EXAMINER (peu de criteres)
2026-09-21,01:34,WPEA.PA,MSCI WORLD,7.049,6.59,60.0,422.94,27.54,6.97,23.56,5.96,7.72,100.0,A EXAMINER (peu de criteres)
2026-09-21,01:34,WPEA.PA,MSCI WORLD,7.049,6.48,2.0,14.1,1.14,8.8,-2.84,-21.91,7.72,100.0,A EXAMINER (peu de criteres)
2026-09-22,01:15,WPEA.PA,MSCI WORLD,7.093,6.77,30.0,212.79,9.69,4.77,5.71,2.81,7.72,100.0,A EXAMINER (peu de criteres)
2026-09-22,01:15,PSP5.PA,S&P500,59.64,57.87,2.0,119.28,3.54,3.06,-0.44,-0.38,7.72,100.0,A EXAMINER (peu de criteres)
2026-09-22,01:15,WPEA.PA,MSCI WORLD,7.093,6.59,60.0,425.58,30.18,7.63,26.2,6.63,7.72,100.0,A EXAMINER (peu de criteres)
2026-09-22,01:15,WPEA.PA,MSCI WORLD,7.093,6.48,2.0,14.19,1.23,9.49,-2.75,-21.22,7.72,100.0,A EXAMINER (peu de criteres)
