date,time,ticker,name,price_eur,cost_eur,qty,vm,pnl_brut,pnl_brut_pct,pnl_net,pnl_net_pct,score,rec
2026-05-13,21:03,PLTR.US,Palantir Technologies,110.1062,119.06,2,220.21,-17.91,-7.52,-31.81,-12.98,5.85,GARDER
2026-05-13,21:03,CRWV.US,CoreWeave,95.1185,93.91,2,190.24,2.42,1.29,-11.48,-5.89,5.52,GARDER
2026-05-13,21:03,RIOT.US,Riot Platforms,21.239,15.84,6,127.43,32.39,34.08,18.49,18.13,7.6,ACHAT FORT
2026-05-13,21:28,PLTR.US,Palantir Technologies,111.1381,119.06,2,222.28,-15.84,-6.65,-29.74,-12.14,5.88,GARDER
2026-05-13,21:28,CRWV.US,CoreWeave,94.9257,93.91,2,189.85,2.03,1.08,-11.87,-6.09,5.52,GARDER
2026-05-13,21:28,RIOT.US,Riot Platforms,21.3404,15.84,6,128.04,33.0,34.72,19.1,18.73,7.62,ACHAT FORT
2026-05-13,21:47,PLTR.US,Palantir Technologies,111.1851,119.06,2,222.37,-15.75,-6.61,-29.65,-12.1,5.88,GARDER
2026-05-13,21:47,CRWV.US,CoreWeave,95.2814,93.91,2,190.56,2.74,1.46,-11.16,-5.73,5.53,GARDER
2026-05-13,21:47,RIOT.US,Riot Platforms,21.3942,15.84,6,128.37,33.33,35.07,19.43,19.05,7.63,ACHAT FORT
2026-05-13,21:47,DEC.PA,JCDecaux,18.57,17.77,2,37.14,1.6,4.5,-2.38,-6.34,5.13,GARDER
2026-05-13,21:47,ACA.PA,Crédit Agricole SA,16.925,16.9,10,169.25,0.25,0.15,-3.73,-2.18,5.0,GARDER
2026-05-13,21:47,ABNX.PA,Abionyx Pharma,3.65,3.84,10,36.5,-1.9,-4.95,-5.88,-14.56,4.85,GARDER
2026-05-13,23:00,PLTR.US,Palantir Technologies,111.088,119.06,2,222.18,-15.94,-6.69,-29.84,-12.18,5.88,GARDER
2026-05-13,23:00,CRWV.US,CoreWeave,94.9945,93.91,2,189.99,2.17,1.16,-11.73,-6.02,5.52,GARDER
2026-05-13,23:00,RIOT.US,Riot Platforms,21.2616,15.84,6,127.57,32.53,34.23,18.63,18.27,7.61,ACHAT FORT
2026-05-13,23:00,DEC.PA,JCDecaux,18.57,17.77,2,37.14,1.6,4.5,-2.38,-6.34,5.13,GARDER
2026-05-13,23:00,ACA.PA,Crédit Agricole SA,16.925,16.9,10,169.25,0.25,0.15,-3.73,-2.18,5.0,GARDER
2026-05-13,23:00,ABNX.PA,Abionyx Pharma,3.65,3.84,10,36.5,-1.9,-4.95,-5.88,-14.56,4.85,GARDER
2026-05-14,11:26,PLTR.US,Palantir Technologies,111.0379,119.06,2,222.08,-16.04,-6.74,-29.94,-12.22,4.05,À ÉVITER
2026-05-14,11:26,CRWV.US,CoreWeave,95.021,93.91,2,190.04,2.22,1.18,-11.68,-6.0,6.45,ACHAT MODÉRÉ
2026-05-14,11:26,RIOT.US,Riot Platforms,21.2676,15.84,6,127.61,32.57,34.27,18.67,18.31,7.61,ACHAT FORT
2026-05-14,11:26,DEC.PA,JCDecaux,18.57,17.77,2,37.14,1.6,4.5,-2.38,-6.34,5.13,GARDER
2026-05-14,11:26,ACA.PA,Crédit Agricole SA,16.925,16.9,10,169.25,0.25,0.15,-3.73,-2.18,5.0,GARDER
2026-05-14,11:26,ABNX.PA,Abionyx Pharma,3.65,3.84,10,36.5,-1.9,-4.95,-5.88,-14.56,4.85,GARDER
2026-05-14,11:42,PLTR.US,Palantir Technologies,111.0992,119.06,2,222.2,-15.92,-6.69,-29.82,-12.17,4.05,À ÉVITER
2026-05-14,11:42,CRWV.US,CoreWeave,95.0736,93.91,2,190.15,2.33,1.24,-11.57,-5.94,7.5,ACHAT FORT
2026-05-14,11:42,RIOT.US,Riot Platforms,21.2793,15.84,6,127.68,32.64,34.34,18.74,18.37,7.11,ACHAT MODÉRÉ
2026-05-14,11:42,DEC.PA,JCDecaux,18.65,17.77,2,37.3,1.76,4.95,-2.22,-5.92,4.38,À ÉVITER
2026-05-14,11:42,ACA.PA,Crédit Agricole SA,17.195,16.9,10,171.95,2.95,1.75,-1.03,-0.6,3.98,À ÉVITER
2026-05-14,11:42,ABNX.PA,Abionyx Pharma,3.735,3.84,10,37.35,-1.05,-2.73,-5.03,-12.45,5.44,GARDER
